rank,rank_status,artist_name,sales,distribution
1,new,BTS,4376975,Dreamus
2,new,BTS,2692022,Dreamus
3,new,seventeen,1377813,Stone Music Entertainment
4,new,NCT,1289594,Dreamus
5,new,BLACKPINK,1244802,YG PLUS
6,new,seventeen,1122850,Dreamus
7,new,BAEKHYUN,971554,Dreamus
8,new,NCT 127,836779,"Dreamus, Caroline"
9,new,NCT,791590,Dreamus
10,new,BTS,670500,Kakao Entertainment
11,new,NCT DREAM,633593,Dreamus
12,new,TWICE,573431,Dreamus
13,new,Kim hochong,539350,Kakao Entertainment
14,new,NCT 127,524224,Dreamus
15,new,IZ*ONE,515492,Stone Music Entertainment
16,new,EXO-SC,510297,Dreamus
17,new,SuperM,504232,Dreamus
18,new,TWICE,479885,Dreamus
19,new,TXT,476596,Dreamus
20,new,IZ*ONE,465308,Stone Music Entertainment
21,new,GOT7,454293,Dreamus
22,new,Stray Kids,440625,Dreamus
23,new,IZ*ONE,431498,Stone Music Entertainment
24,new,ENHYPEN,379992,Stone Music Entertainment
25,new,ATEEZ,379052,Stone Music Entertainment
26,new,THE BOYZ,368911,Kakao Entertainment
27,new,Stray Kids,364252,Dreamus
28,new,TXT,358514,Dreamus
29,new,KAI,344246,Dreamus
30,new,GOT7,340819,Dreamus
31,new,kangdaniel,337785,Sony Music
32,new,BLACKPINK,302377,YG PLUS
33,new,MONSTA X,278765,Kakao Entertainment
34,new,SUHO  ,272698,Dreamus
35,new,kangdaniel,266176,Sony Music
36,new,MONSTA X,264285,Kakao Entertainment
37,new,kimhochong,248480,Warner Music
38,new,kimhochong,248466,Warner Music
39,new,TREASURE        ,247983,YG PLUS
40,new,TREASURE        ,239326,YG PLUS
41,new,irene&seulgi  ,232498,Dreamus
42,new,TREASURE        ,232134,YG PLUS
43,new,SUPER JUNIOR-D&E,226393,Dreamus
44,new,ITZY       ,216151,Dreamus
45,new,BTS,197536,Dreamus
46,new,NU`EST  ,193509,Stone Music Entertainment
47,new,ATEEZ         ,179796,Stone Music Entertainment
48,new,NCT,175747,Dreamus
49,new,BTS,169952,"Dreamus, The Orchard"
50,new,Mamamoo  ,169850,Kakao Entertainment
51,new,BTS,167679,Dreamus
52,new,CRAVITY,166644,Kakao Entertainment
53,new,CRAVITY,154360,Kakao Entertainment
54,new,GIDLE,154016,Kakao Entertainment
55,new,TAEMIN  ,153926,Dreamus
56,new,ITZY       ,153037,Dreamus
57,new,Super Junior-K.R.Y.  ,151153,Dreamus
58,new,BTS,150656,Dreamus
59,new,WONHO  ,146068,Kakao Entertainment
60,new,NCT,145146,Dreamus
61,new,WOODZ        ,143791,Stone Music Entertainment
62,new,AB6IX          ,139900,Warner Music
63,new,GIDLE,124815,Kakao Entertainment
64,new,BTS,123591,Dreamus
65,new,TAEMIN  ,123441,Dreamus
66,new,THE BOYZ  ,121621,Kakao Entertainment
67,new,Super Junior  ,121293,Dreamus
68,new,BTS,119148,Dreamus
69,new,SF9           ,117785,Kakao Entertainment
70,new,kimusol,117570,Kakao Entertainment
71,new,benyuesonyeo,114503,Kakao Entertainment
72,new,WINNER  ,114466,YG PLUS
73,new,kimjaechong,114286,Kakao Entertainment
74,new,BTS,113191,Dreamus
75,new,PENTAGON  ,110801,Kakao Entertainment
76,new,MAX CHANGMIN  ,109203,Dreamus
77,new,ONEUS,108862,Kakao Entertainment
78,new,WayV,107773,Dreamus
79,new,AB6IX,106682,Warner Music
80,new,SF9,105874,Kakao Entertainment
81,new,wujusonyeo,105056,Kakao Entertainment
82,new,dreamchatcher,99746,planet
83,new,TAEYEON,99065,Dreamus
84,new,golden child,98239,Kakao Entertainment
85,new,BLACKPINK,98035,YG PLUS
86,new,ASTRO,97991,Kakao Entertainment
87,new,MINO,97577,YG PLUS
88,new,BTS,97139,Dreamus
89,new,VICTON ,95850,Kakao Entertainment
90,new,VICTON ,95709,Kakao Entertainment
91,new,WOODZ,95531,Stone Music Entertainment
92,new,GFRIEND,90242,Kakao Entertainment
93,new,SEVENTEEN,89260,Stone Music Entertainment
94,new,hansungwu,86063,Kakao Entertainment
95,new,DAY6,85898,Dreamus
96,new,solla,84951,Kakao Entertainment
97,new,pakjihun,84769,NHN  
98,new,BTS,84755,Dreamus
99,new,solla,84641,Dreamus
100,new,GFRIEND,82760,Kakao Entertainment
