rank,rank_status,artist_name,sales,distribution,
1,new,BTS,2999407,YG PLUS,
2,new,NCT 127,2427559,Dreamus,
3,new,NCT DREAM,2097185,Dreamus,
4,new,SEVENTEEN,2059073,YG PLUS,
5,new,NCT,1630715,Dreamus,
6,new,SEVENTEEN,1462405,YG PLUS,
7,new,EXO,1326189,Dreamus,
8,new,Stray Kids,1303106,Dreamus,
9,new,ENHYPEN,1205949,Stone Music Entertainment,
10,new,BTS,1049496,YG PLUS,
11,new,NCT DREAM,1025005,Dreamus,
12,new,BAEKHYUN,996850,Dreamus,
13,new,NCT 127,934986,Dreamus,
14,new,TXT,877917,YG PLUS,
15,new,ENHYPEN,788451,Stone Music Entertainment,
16,new,TXT,775121,YG PLUS,
17,new,Stray Kids,743047,Dreamus,
18,new,ATEEZ,737124,Stone Music Entertainment,
19,new,TWICE,714955,Dreamus,
20,new,LISA,708475,YG PLUS,
21,new,THE BOYZ,642992,Kakao Entertainment,
22,new,THE BOYZ,642369,Kakao Entertainment,
23,new,aespa,574445,Dreamus,
24,new,TWICE,559093,Dreamus,
25,new,ROSE,516915,YG PLUS,
26,new,ATEEZ,514515,Stone Music Entertainment,
27,new,ITZY,500124,Dreamus,
28,new,BTS,458050,YG PLUS,
29,new,Super Junior,442742,Dreamus,
30,new,monsta x,424618,Kakao Entertainment,
31,new,BTS,411822,YG PLUS,
32,new,ATEEZ,407165,Stone Music Entertainment,
33,new,IU,402864,Kakao Entertainment,
34,new,NCT,393900,Dreamus,
35,new,BTS,391160,YG PLUS,
36,new,D.O.  ,380178,Dreamus,
37,new,Red Velvet  ,363602,Dreamus,
38,new,ASTRO  ,360911,Kakao Entertainment,
39,new,BTS,358154,YG PLUS,
40,new,monsta x,352734,Kakao Entertainment,
41,new,BTS,345192,YG PLUS,
42,new,ITZY ,339940,Dreamus,
43,new,TREASURE,331320,YG PLUS,
44,new,kangdaniel,320114,Sony Music,
45,new,ASTRO  ,310979,Kakao Entertainment,
46,new,SHINee  ,307859,Dreamus,
47,new,WayV,276132,Dreamus,
48,new,NCT DREAM,269641,Dreamus,
49,new,IVE ,268396,Kakao Entertainment,
50,new,KAI  ,265201,Dreamus,
51,new,NCT 127,230350,Dreamus,
52,new,gidle,219409,Kakao Entertainment,
53,new,SF9 ,217201,Kakao Entertainment,
54,new,NU`EST  ,205972,YG PLUS,
55,new,NCT,199062,Dreamus,
56,new,BLACKPINK,190729,YG PLUS,
57,new,ENHYPEN,189832,Stone Music Entertainment,
58,new,BTS,186595,YG PLUS,
59,new,BTS,184418,YG PLUS,
60,new,BTS,184398,YG PLUS,
61,new,CRAVITY,181291,Kakao Entertainment,
62,new,SF9 ,179581,Kakao Entertainment,
63,new,U-KNOW  ,178643,Dreamus,
64,new,ONEUS  ,177877,Kakao Entertainment,
65,new,CRAVITY,176511,Kakao Entertainment,
66,new,WENDY  ,172598,Dreamus,
67,new,BTS,166566,YG PLUS,
68,new,STAYC ,166529,Kakao Entertainment,
69,new,TXT,161879,YG PLUS,
70,new,SEVENTEEN,153073,YG PLUS,
71,new,golden child,148177,Kakao Entertainment,
72,new,SHINee  ,147023,Dreamus,
73,new,chongdongun,144576,Kakao Entertainment,
74,new,2PM,143480,Dreamus,
75,new,TAEMIN  ,136370,Dreamus,
76,new,Mamamoo  ,135165,Kakao Entertainment,
77,new,BamBam  ,134845,Kakao Entertainment,
78,new,BTS,132293,YG PLUS,
79,new,NCT DREAM,129803,Dreamus,
80,new,dreamcatcher,129797,genie music,
81,new,dreamcatcher,129715,Sony Music,
82,new,benyuesonyeo,128517,Kakao Entertainment,
83,new,KEY  ,128448,Dreamus,
84,new,Stray Kids ,125570,Dreamus,
85,new,BTS,125217,YG PLUS,
86,new,ONEUS  ,123380,Kakao Entertainment,
87,new,BTS,122505,YG PLUS,
88,new,BTS,121285,YG PLUS,
89,new,BLACKPINK,120001,YG PLUS,
90,new,BTS,115160,YG PLUS,
91,new,PENTAGON  ,114355,Kakao Entertainment,
92,new,VICTON ,114245,Kakao Entertainment,
93,new,NCT,114093,Dreamus,lee
94,new,golden child,113966,Kakao Entertainment,
95,new,Stray Kids,113463,Dreamus,
96,new,Highlight  ,111968,Kakao Entertainment,
97,new,leechanun,111817,music new,
98,new,OH MY GIRL  ,111804,Sony Music,
99,new,ONF  ,111696,Sony Music,
100,new,kangseongyun,111497,YG PLUS,
